pope_id,person_sequence,papal_name,display_name,slug,canonization_status,person_status,birth_name,birth_place,origin,religious_order,notes,source_basis
pope-001,1,Peter,Peter,peter,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-002,2,Linus,Linus,linus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-003,3,Anacletus,Anacletus,anacletus,Saint,canonical-pope,,,,,Source list label: St. Anacletus (Cletus).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-004,4,Clement I,Clement I,clement-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-005,5,Evaristus,Evaristus,evaristus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-006,6,Alexander I,Alexander I,alexander-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-007,7,Sixtus I,Sixtus I,sixtus-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-008,8,Telesphorus,Telesphorus,telesphorus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-009,9,Hyginus,Hyginus,hyginus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-010,10,Pius I,Pius I,pius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-011,11,Anicetus,Anicetus,anicetus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-012,12,Soter,Soter,soter,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-013,13,Eleutherius,Eleutherius,eleutherius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-014,14,Victor I,Victor I,victor-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-015,15,Zephyrinus,Zephyrinus,zephyrinus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-016,16,Callixtus I,Callixtus I,callixtus-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-017,17,Urban I,Urban I,urban-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-018,18,Pontian,Pontian,pontian,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-019,19,Anterus,Anterus,anterus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-020,20,Fabian,Fabian,fabian,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-021,21,Cornelius,Cornelius,cornelius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-022,22,Lucius I,Lucius I,lucius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-023,23,Stephen I,Stephen I,stephen-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-024,24,Sixtus II,Sixtus II,sixtus-ii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-025,25,Dionysius,Dionysius,dionysius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-026,26,Felix I,Felix I,felix-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-027,27,Eutychian,Eutychian,eutychian,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-028,28,Caius,Caius,caius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-029,29,Marcellinus,Marcellinus,marcellinus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-030,30,Marcellus I,Marcellus I,marcellus-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-031,31,Eusebius,Eusebius,eusebius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-032,32,Miltiades,Miltiades,miltiades,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-033,33,Sylvester I,Sylvester I,sylvester-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-034,34,Mark,Mark,mark,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-035,35,Julius I,Julius I,julius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-036,36,Liberius,Liberius,liberius,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-037,37,Damasus I,Damasus I,damasus-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-038,38,Siricius,Siricius,siricius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-039,39,Anastasius I,Anastasius I,anastasius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-040,40,Innocent I,Innocent I,innocent-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-041,41,Zosimus,Zosimus,zosimus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-042,42,Boniface I,Boniface I,boniface-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-043,43,Celestine I,Celestine I,celestine-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-044,44,Sixtus III,Sixtus III,sixtus-iii,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-045,45,Leo I,Leo I,leo-i,Saint,canonical-pope,,,,,Source list label: St. Leo I (Leo the Great).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-046,46,Hilarius,Hilarius,hilarius,Saint,canonical-pope,,,,,Source list label: St. Hilarius (Hilary).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-047,47,Simplicius,Simplicius,simplicius,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-048,48,Felix III (Felix II),Felix III (Felix II),felix-iii-felix-ii,Saint,canonical-pope,,,,,Source list label: St. Felix III (Felix II).,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-049,49,Gelasius I,Gelasius I,gelasius-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-050,50,Anastasius II,Anastasius II,anastasius-ii,,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-051,51,Symmachus,Symmachus,symmachus,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-052,52,Hormisdas,Hormisdas,hormisdas,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
pope-053,53,John I,John I,john-i,Saint,canonical-pope,,,,,,Canonical person list derived from the supplied source list and aligned to an Annuario Pontificio-style separation of canonical popes and antipopes.
