pontificate_id,annuario_style_sequence,pope_id,papal_name,pontificate_ordinal_for_person,pontificate_start,pontificate_end,date_precision,is_current,is_multiple_pontificate_case,notes
pontificate-001,1,pope-001,Peter,1,,,not-yet-normalized,False,False,
pontificate-002,2,pope-002,Linus,1,,,not-yet-normalized,False,False,
pontificate-003,3,pope-003,Anacletus,1,,,not-yet-normalized,False,False,
pontificate-004,4,pope-004,Clement I,1,,,not-yet-normalized,False,False,
pontificate-005,5,pope-005,Evaristus,1,,,not-yet-normalized,False,False,
pontificate-006,6,pope-006,Alexander I,1,,,not-yet-normalized,False,False,
pontificate-007,7,pope-007,Sixtus I,1,,,not-yet-normalized,False,False,
pontificate-008,8,pope-008,Telesphorus,1,,,not-yet-normalized,False,False,
pontificate-009,9,pope-009,Hyginus,1,,,not-yet-normalized,False,False,
pontificate-010,10,pope-010,Pius I,1,,,not-yet-normalized,False,False,
pontificate-011,11,pope-011,Anicetus,1,,,not-yet-normalized,False,False,
pontificate-012,12,pope-012,Soter,1,,,not-yet-normalized,False,False,
pontificate-013,13,pope-013,Eleutherius,1,,,not-yet-normalized,False,False,
pontificate-014,14,pope-014,Victor I,1,,,not-yet-normalized,False,False,
pontificate-015,15,pope-015,Zephyrinus,1,,,not-yet-normalized,False,False,
pontificate-016,16,pope-016,Callixtus I,1,,,not-yet-normalized,False,False,
pontificate-017,17,pope-017,Urban I,1,,,not-yet-normalized,False,False,
pontificate-018,18,pope-018,Pontian,1,,,not-yet-normalized,False,False,
pontificate-019,19,pope-019,Anterus,1,,,not-yet-normalized,False,False,
pontificate-020,20,pope-020,Fabian,1,,,not-yet-normalized,False,False,
pontificate-021,21,pope-021,Cornelius,1,,,not-yet-normalized,False,False,
pontificate-022,22,pope-022,Lucius I,1,,,not-yet-normalized,False,False,
pontificate-023,23,pope-023,Stephen I,1,,,not-yet-normalized,False,False,
pontificate-024,24,pope-024,Sixtus II,1,,,not-yet-normalized,False,False,
pontificate-025,25,pope-025,Dionysius,1,,,not-yet-normalized,False,False,
pontificate-026,26,pope-026,Felix I,1,,,not-yet-normalized,False,False,
pontificate-027,27,pope-027,Eutychian,1,,,not-yet-normalized,False,False,
pontificate-028,28,pope-028,Caius,1,,,not-yet-normalized,False,False,
pontificate-029,29,pope-029,Marcellinus,1,,,not-yet-normalized,False,False,
pontificate-030,30,pope-030,Marcellus I,1,,,not-yet-normalized,False,False,
pontificate-031,31,pope-031,Eusebius,1,,,not-yet-normalized,False,False,
pontificate-032,32,pope-032,Miltiades,1,,,not-yet-normalized,False,False,
pontificate-033,33,pope-033,Sylvester I,1,,,not-yet-normalized,False,False,
pontificate-034,34,pope-034,Mark,1,,,not-yet-normalized,False,False,
pontificate-035,35,pope-035,Julius I,1,,,not-yet-normalized,False,False,
pontificate-036,36,pope-036,Liberius,1,,,not-yet-normalized,False,False,
pontificate-037,37,pope-037,Damasus I,1,,,not-yet-normalized,False,False,
pontificate-038,38,pope-038,Siricius,1,,,not-yet-normalized,False,False,
pontificate-039,39,pope-039,Anastasius I,1,,,not-yet-normalized,False,False,
pontificate-040,40,pope-040,Innocent I,1,,,not-yet-normalized,False,False,
pontificate-041,41,pope-041,Zosimus,1,,,not-yet-normalized,False,False,
pontificate-042,42,pope-042,Boniface I,1,,,not-yet-normalized,False,False,
pontificate-043,43,pope-043,Celestine I,1,,,not-yet-normalized,False,False,
pontificate-044,44,pope-044,Sixtus III,1,,,not-yet-normalized,False,False,
pontificate-045,45,pope-045,Leo I,1,,,not-yet-normalized,False,False,
pontificate-046,46,pope-046,Hilarius,1,,,not-yet-normalized,False,False,
pontificate-047,47,pope-047,Simplicius,1,,,not-yet-normalized,False,False,
pontificate-048,48,pope-048,Felix III (Felix II),1,,,not-yet-normalized,False,False,
pontificate-049,49,pope-049,Gelasius I,1,,,not-yet-normalized,False,False,
pontificate-050,50,pope-050,Anastasius II,1,,,not-yet-normalized,False,False,
pontificate-051,51,pope-051,Symmachus,1,,,not-yet-normalized,False,False,
pontificate-052,52,pope-052,Hormisdas,1,,,not-yet-normalized,False,False,
pontificate-053,53,pope-053,John I,1,,,not-yet-normalized,False,False,
pontificate-054,54,pope-054,Felix IV (Felix III),1,,,not-yet-normalized,False,False,
pontificate-055,55,pope-055,Boniface II,1,,,not-yet-normalized,False,False,
pontificate-056,56,pope-056,John II,1,,,not-yet-normalized,False,False,
pontificate-057,57,pope-057,Agapetus I,1,,,not-yet-normalized,False,False,
pontificate-058,58,pope-058,Silverius,1,,,not-yet-normalized,False,False,
pontificate-059,59,pope-059,Vigilius,1,,,not-yet-normalized,False,False,
pontificate-060,60,pope-060,Pelagius I,1,,,not-yet-normalized,False,False,
pontificate-061,61,pope-061,John III,1,,,not-yet-normalized,False,False,
pontificate-062,62,pope-062,Benedict I,1,,,not-yet-normalized,False,False,
pontificate-063,63,pope-063,Pelagius II,1,,,not-yet-normalized,False,False,
pontificate-064,64,pope-064,Gregory I,1,,,not-yet-normalized,False,False,
pontificate-065,65,pope-065,Sabinian,1,,,not-yet-normalized,False,False,
pontificate-066,66,pope-066,Boniface III,1,,,not-yet-normalized,False,False,
pontificate-067,67,pope-067,Boniface IV,1,,,not-yet-normalized,False,False,
pontificate-068,68,pope-068,Adeodatus I,1,,,not-yet-normalized,False,False,
pontificate-069,69,pope-069,Boniface V,1,,,not-yet-normalized,False,False,
pontificate-070,70,pope-070,Honorius I,1,,,not-yet-normalized,False,False,
pontificate-071,71,pope-071,Severinus,1,,,not-yet-normalized,False,False,
pontificate-072,72,pope-072,John IV,1,,,not-yet-normalized,False,False,
pontificate-073,73,pope-073,Theodore I,1,,,not-yet-normalized,False,False,
pontificate-074,74,pope-074,Martin I,1,,,not-yet-normalized,False,False,
pontificate-075,75,pope-075,Eugene I,1,,,not-yet-normalized,False,False,
pontificate-076,76,pope-076,Vitalian,1,,,not-yet-normalized,False,False,
pontificate-077,77,pope-077,Adeodatus II,1,,,not-yet-normalized,False,False,
pontificate-078,78,pope-078,Donus,1,,,not-yet-normalized,False,False,
pontificate-079,79,pope-079,Agatho,1,,,not-yet-normalized,False,False,
pontificate-080,80,pope-080,Leo II,1,,,not-yet-normalized,False,False,
pontificate-081,81,pope-081,Benedict II,1,,,not-yet-normalized,False,False,
pontificate-082,82,pope-082,John V,1,,,not-yet-normalized,False,False,
pontificate-083,83,pope-083,Conon,1,,,not-yet-normalized,False,False,
pontificate-084,84,pope-084,Sergius I,1,,,not-yet-normalized,False,False,
pontificate-085,85,pope-085,John VI,1,,,not-yet-normalized,False,False,
pontificate-086,86,pope-086,John VII,1,,,not-yet-normalized,False,False,
pontificate-087,87,pope-087,Sisinnius,1,,,not-yet-normalized,False,False,
pontificate-088,88,pope-088,Constantine,1,,,not-yet-normalized,False,False,
pontificate-089,89,pope-089,Gregory II,1,,,not-yet-normalized,False,False,
pontificate-090,90,pope-090,Gregory III,1,,,not-yet-normalized,False,False,
pontificate-091,91,pope-091,Zachary,1,,,not-yet-normalized,False,False,
pontificate-092,92,pope-092,Stephen II (III),1,,,not-yet-normalized,False,False,
pontificate-093,93,pope-093,Paul I,1,,,not-yet-normalized,False,False,
pontificate-094,94,pope-094,Stephen III (IV),1,,,not-yet-normalized,False,False,
pontificate-095,95,pope-095,Adrian I,1,,,not-yet-normalized,False,False,
pontificate-096,96,pope-096,Leo III,1,,,not-yet-normalized,False,False,
pontificate-097,97,pope-097,Stephen IV (V),1,,,not-yet-normalized,False,False,
pontificate-098,98,pope-098,Paschal I,1,,,not-yet-normalized,False,False,
pontificate-099,99,pope-099,Eugene II,1,,,not-yet-normalized,False,False,
pontificate-100,100,pope-100,Valentine,1,,,not-yet-normalized,False,False,
pontificate-101,101,pope-101,Gregory IV,1,,,not-yet-normalized,False,False,
pontificate-102,102,pope-102,Sergius II,1,,,not-yet-normalized,False,False,
pontificate-103,103,pope-103,Leo IV,1,,,not-yet-normalized,False,False,
pontificate-104,104,pope-104,Benedict III,1,,,not-yet-normalized,False,False,
pontificate-105,105,pope-105,Nicholas I,1,,,not-yet-normalized,False,False,
pontificate-106,106,pope-106,Adrian II,1,,,not-yet-normalized,False,False,
pontificate-107,107,pope-107,John VIII,1,,,not-yet-normalized,False,False,
pontificate-108,108,pope-108,Marinus I,1,,,not-yet-normalized,False,False,
pontificate-109,109,pope-109,Adrian III,1,,,not-yet-normalized,False,False,
pontificate-110,110,pope-110,Stephen V (VI),1,,,not-yet-normalized,False,False,
pontificate-111,111,pope-111,Formosus,1,,,not-yet-normalized,False,False,
pontificate-112,112,pope-112,Boniface VI,1,,,not-yet-normalized,False,False,
pontificate-113,113,pope-113,Stephen VI (VII),1,,,not-yet-normalized,False,False,
pontificate-114,114,pope-114,Romanus,1,,,not-yet-normalized,False,False,
pontificate-115,115,pope-115,Theodore II,1,,,not-yet-normalized,False,False,
pontificate-116,116,pope-116,John IX,1,,,not-yet-normalized,False,False,
pontificate-117,117,pope-117,Benedict IV,1,,,not-yet-normalized,False,False,
pontificate-118,118,pope-118,Leo V,1,,,not-yet-normalized,False,False,
pontificate-119,119,pope-119,Sergius III,1,,,not-yet-normalized,False,False,
pontificate-120,120,pope-120,Anastasius III,1,,,not-yet-normalized,False,False,
pontificate-121,121,pope-121,Lando,1,,,not-yet-normalized,False,False,
pontificate-122,122,pope-122,John X,1,,,not-yet-normalized,False,False,
pontificate-123,123,pope-123,Leo VI,1,,,not-yet-normalized,False,False,
pontificate-124,124,pope-124,Stephen VII (VIII),1,,,not-yet-normalized,False,False,
pontificate-125,125,pope-125,Marinus II,1,,,not-yet-normalized,False,False,
pontificate-126,126,pope-126,Agapetus II,1,,,not-yet-normalized,False,False,
pontificate-127,127,pope-127,John XI,1,,,not-yet-normalized,False,False,
pontificate-128,128,pope-128,Leo VII,1,,,not-yet-normalized,False,False,
pontificate-129,129,pope-129,Stephen VIII (IX),1,,,not-yet-normalized,False,False,
pontificate-130,130,pope-130,John XII,1,,,not-yet-normalized,False,False,
pontificate-131,131,pope-131,Leo VIII,1,,,not-yet-normalized,False,False,
pontificate-132,132,pope-132,Benedict V,1,,,not-yet-normalized,False,False,
pontificate-133,133,pope-133,John XIII,1,,,not-yet-normalized,False,False,
pontificate-134,134,pope-134,Benedict VI,1,,,not-yet-normalized,False,False,
pontificate-135,135,pope-135,Benedict VII,1,,,not-yet-normalized,False,False,
pontificate-136,136,pope-136,John XIV,1,,,not-yet-normalized,False,False,
pontificate-137,137,pope-137,John XV,1,,,not-yet-normalized,False,False,
pontificate-138,138,pope-138,Gregory V,1,,,not-yet-normalized,False,False,
